Review,label
My wife and I travelled with our daughter and her 20 month old baby to London. We travelled in First Class. We did the same trip last year but without our daughter and her son. Naturally we were a little bit nervous about travelling with the baby but the staff were so accommodating helpful and friendly that we had nothing to worry about. The staff on both legs were superb in every respect. The food was excellent and the First class sleeping pods were excellent in every respect. Comfortable clean and well appointed. We will travel with British Airways every time we could not fault them in any way. Just one minor thing that is no fault of British Airways. When they call the flight there is a dedicated boarding row for First Class passengers but it seemed that everyone was able to use this lane which means that we had to join the queue rather than just walk straight through. I know that this sounds rather pathetic but surely if one is prepared to pay the additional fare one should be entitled to some form of privileges. We have travelled with British Airways on many occasions and each time we have had the same wonderful experiences.,1
"My flight was cancelled and we were just told to either get a refund or rebook another flight. All flights to George Bush airport were fully booked that day. So much of an inconvenience since in the first place i booked the very first trip to have adequate time for possible delays. Able to book going to Hobby airport. I just need to be in houston that day. Unfortunately my checked in baggage was delivered to George bush. Not an urgent need but an inconvenience. Toll free number takes 45 min to call you back. Inquired with AA ground crew at the gate who just shrugged their shoulders. They were all in a rush to go coz their gate was about to close. Finally boarded to fly to hobby airport. I could not understand a thing the flight attendant was paging overhead, her words were garbled and carelessly pronounced.",0
London to Toronto. Boeing 789 plane is so poorly configured that passenger comfort is given the least importance. Seat width and seat pitch of 30 inch is too tight for long flight. Long lines at the washrooms. Avoid this particular plane.,0
"I was impressed and happy with the service, friendliness, food and entertainment on board. This was a big improvement to flights last winter with the old Business Class. The crew were great and the 10 hour flight went by quickly. The A380 is quiet and smooth in the air and LH has done some homework and the hard working flight crew made the difference. In my 16 years of flying the captain did greet the Ladies, gentleman and children on board.",1
"The inflight entertainment is very poor, so I think SpiceJet can improve this service fast. Overall the cabin crew are very good, however I don't like the entertainment.",1
"I was extremely disappointed in the service my husband and I received on our flights using Etihad Airways. We first flew from Dublin to Abu Dhabi using Etihad and thought that the poor service could have been a fluke but we were wrong. On our direct flight home from Abu Dhabi to Toronto the service continued to go downhill. The flight attendants were rude and not helpful. It took over an hour for someone to come to us when we turned on our attendant light. Attendants would see the light and walk right past us. Passengers around us also had this problem and we heard chatter about how the staff was rude and they had received better service on other airlines. The food was not good either. I understand that plane food usually isn't great but after following Etihad on Instagram and reading other things online I expect better, especially on such a long flight. I have had better food and service on one hour flights with other airlines. Also, there is a lack of organization at the airport for this airline. Getting through the gate was a logistical nightmare and the Etihad staff did not communicate effectively with patrons. Everyone was everywhere and did not know what was going on. All in all, poor customer service and poor organization led to a very negative experience flying with Etihad.",0
"Their meals and services are excellent. Both ground and onboard services are friendly, enthusiastic, and professional. Flight attendants  wear a smile on their faces and are very prompt and attentive.  If I have the opportunity to take their flights again, I will definitely choose them without hesitation, looking forward to enjoying their excellent services and delicious meals again.",1
"Flew on Tuesday before Thanksgiving. No problems at all. I have to admit I do not like that we not even offered a drink. So you need to make sure that you carry on a beverage of your choice and any snacks as there is nothing on the plane. The plane was not full so the stewardess offered people to move to another seat so they could stretch out. It was very expensive but I assume that it was because of Holiday travel. I would fly again, as very pleased with this airline",1
"Extremely disappointing. Corona crisis started. They basically cut all phone numbers, closed offices and let us without information in Thailand. They were still selling tickets for the next few days when they cancelled our flight back and did not allow us to take place on those just to sell more expensive tickets. Definitely a rip off. Emirates. Don't fly. It seems like a better pick up line for your commercials.",0
"My husband and I flew home from Orlando to Seattle on Monday night on Alaska flight 19 from MCO to SEA and had the best time! The flight crew were very accommodating and joked around with us each time they came by our row, messing with us about our drink orders. My husband and I are pretty fun people so we really enjoyed the playfulness on such a long flight. This was our first time flying in the premium section and the extra 4 inches of leg room really makes a difference! Plus, you get a free checked bag as well as complimentary drinks the whole flight. I always fly Alaska when I fly and have yet to have a bad experience and will continue to fly Alaska any time I can.",1
"I was told I'd require a 48 hr negative covid test for entry into Philippines. Booked my trip via BA.com, with a transfer in Singapore. They delay my transfer to the next day, okay, not too bothered as have my 48 hr negative covid test, but when I try to check in at Changi Airport, the Philippines Airlines check in staff require a 24 hr negative covid test. Had to rush to a different terminal, get tested, wait for the result, rush back to check in ...the gate had closed.  Had to book an extra night in Singapore hotel, book my own flight to Manila, then also the return journey back to London. If one misses one leg of a BA booked flight, the remaining flights get cancelled.  I discovered Oman Air Business Class and better then British Airways, from treating their customers, quality of service, the business class experience.",0
"Los Angeles to Ft Lauderdale. If you have never heard of the saying ""second class citizen"" then fly this airline. If you are not in First class then you are a second class citizen. I would have purchased a first class ticket but there were none available. This plane only had 12 first class seats. TV did not work for most of the 5.5 Hr flight. Have to pay for internet.",0
"I booked the flight for my Christmas holiday via the S7 website in the summer. On 16 October they informed me that one of the sectors was cancelled. They couldn't provide any alternatives as all their flights around the Christmas period were full. I had to buy tickets with another carrier, paying double of what I previously paid. When I raised a refund with S7, they made me pay an additional cancellation fee. I won't use their website ever again.",0
"Economy flight with Alitalia is very frustrating and stressful. Departure Gate changed Last minute, no announcement or signs to advise. Seats onboard unclean and storage pouch hanging partly torn away, hanging on my leg. The cabin staff were pleasant enough. They lost my luggage, despite an immediate report at Baggage Claims, the process was very poor for recovery. So 3 days later no luggage yet, and no answer at Customer Service.",0
Luton to Belfast International. I paid extra to pick my seat. There was a biting cold wind with gusts to 50mph. Boarding was really slow so I got to stand around on open steps for several minutes whilst people got their stuff packed. When I got on board my carefully chosen window seat turned out to be next to a screaming baby. I swapped with one of the parents so I was then one row away from a screaming baby. On a flight with unallocated seating I would have picked a seat 15 rows away. The next time I flew with them they made me pack my carry on bag in the hold. There were seats which were near empty luggage bins but the bins near my allocated seat were full. It meant I had to hang around waiting for my bag to arrive when I should have been on my way home. They are trying to act like a premium airline but without the infrastructure or the organisation. It takes too long to board so they end up running late. If I'm boarding from a sky bridge then its not so bad to have to wait whilst people find a specific seat. However with Easyjet if I am queuing outside I want everyone onboard and seated as soon as possible. When I've got a choice I will use some other airline.,0
"The new Air France Business seat is full flat, comfortable and provides very good privacy. 1x2x1 seat layout on the Boeing 777 allowed me to access to corridor easily. What surprised me most is their food, which has improved a lot. I was well entertained by the IFE during the flight.",1
"I greatly regretted booking my flight from New York to Madagascar on South African Airways. While this was the most direct route, the headaches and hassles associated with South African's booking system and web services were extensive. As a result, we spent hours trying to do such simple tasks as obtain seats, and had to spend 2 lengthy sessions on the phone with customer service, only to arrive at JFK with the problems unresolved. It is a pity that one of the leading carriers of Africa cannot run a basic website. They claimed our credit cards had been declined but on checking with the bank, there was an ample credit line and no record of any related transaction. Nor was the information concerning excess baggage relevant or accurate. Way too stressful a way to approach a 20 hour journey. Two thumbs down.",0
"La Paz to Santiago. We flew as a family for a holiday in Peru. The few short flights we had with LATAM were riddled with problem after problem. We missed our first day of our trip, because LATAM sold our prepaid tickets, so we had to wait 6 hours at the airport, to get another flight. We were unable to check in 48 hrs prior, as there was no wifi. On another flight, our bags were lost for 2 days. They had inflexible seating arrangements, resulting in splitting our small group up. We will never travel with LATAM again and highly recommend using alternate airlines.",0
"Everything is in the fine print when you book a ticket with American. We bought three tickets from Boston to Chicago and paid for three, yet they gave one of the seats away. The answer if you look at the fine print, you agreed to the terms. That's way I try to fly SW, Jetblue and others.",0
Recently flew Birmingham to Keflavik return. Prior to the outbound flight I checked in online and moved our seats to 10a and 10b both of which are in the Economy Comfort area and offer a little more legroom than standard Economy. There was one drinks run and one duty free run. The selection of films was adequate for a 2.5 hour flight. The return flight was onboard the specially liveried Hekla Aurora which was nice as it was due to do the run to Gatwick that day. I again had checked in online and obtained exactly the same seats so the return flight was just as comfortable. I enjoyed using Icelandair and certainly would again if I was flying to north America from BHX rather than travelling down to London. One tip though is that if you are checking in online definitely get yourselves into the Economy Comfort zone and in particularly rows 8 if you are travelling as a couple or row 7 which is just behind Saga class and is very quiet.,1
"Mauritius to Madagascar via Reunion Island. The flight has been delayed from 4 to 7 and now 9.15 pm, no communication or support from the ground staff. They knew about the delay before the departure from Mauritius but did not inform the customers. Acces to lounge was given only after insistence from us and only to who has asked for it, not to all afected travelers, and no airline representative has spoken to us, as we should be grateful for the lounge access. No alternative connection was offered. Kids and old people were left without even water and waiting confused. Very unprofessional staff and airline!",0
Had a 6 part trip this month on AA. Every leg had issues. Mechanical problems abound due to the age of the fleet. Arrived at JFK for the vacation portion of this trip and was told at the first class check in that our aircraft was removed from service and we would be 6 hours delayed departing. We missed our first day of vacation and a party because of this. Bottom line you can't rely on this company to get you where you are going in any reliable way. Also have issues with their website frequently down lack of communication with flight delays also.,0
Delhi to Bangalore. Worst experience ever. I had 1 stop flight. First flight delayed for like an hour. Next flight delayed for 6 hours without any further notice. This is my first and last time going with this company,0
"Sofia to San Francisco via Istanbul. I booked this flight back in March for my parent's first visit to US. I was beyond excited I have found such a convenient flight that will fly them to US. Today, I received 10 texts from Turkish airlines my flight has been changed. When I went to look up the option, duration of one way was about 24 hours. I am extremely disappointed, because my travel agent is trying to get a hold of the Turkish Airlines and they can't . Now, I am waiting to see if I would be able to get another fight company. Words cannot describe my anger and frustration and of course huge loss of money. This is totally unprofessional and unacceptable.  Very disappointing, no one seems to care from customer service. Extremely bad English and bad communication over the phone.",0
I flew on July 7th from Ft Lauderdale to Gatwick. Flight was on time no one at the airport at 9.30 pm so security was a breeze. Very efficient boarding was in a premium seat which was comparable to other airlines business class. Lots of room nice quiet flight and I did notice much less drying of nasal passages which normally affects me. The Dreamliner is a vast improvement on lighting etc. The food service which was included in premium was actually quite good. Good movie selection really there was nothing to moan about. Nice friendly flight attendant. There is no WiFi on international flights. This is a winner for me needing to travel between Ft L'dale and Gatwick four times a year.,1
"The cabin staff specifically the male flight attendant was more concerned with women not carrying their purses than people not wearing their mask during the flight. Covid19 safety is non existent with this airline. People were coughing, not wearing masks but the cabin staff where mainly concerned with telling the young women to place their small purses and bumbags on the floor. They ignored the older women and allowed them to carry their small purses and hand bags, their priorities are all messed up. I'll never fly VietJet again for health and safety and the rude flight staff.",0
"Horrible, horrible airline. My flight was delayed twice, and the airline was not helpful at all. Leaving customers stuck at a city, despite offering a refund, is still very irresponsible. I've had a very fixed schedule, and due to EW's fault, I have suffered a great deal with my work and personal life. I do not recommend flying with this airline unless you really have no other choice.",0
"Melbourne to New York via Guangzhou to New York. Both flights were above satisfaction and the friendliest cabin crew I flew with. Chances of getting both long haul flight with above satisfaction is very rare, they deserve the compliments. Other than service, food, entertainment and cabin overall experience is good too.",1
"Dallas to Vancouver with American Airlines, and this is the worst airline ever. Its ridiculous how many times the flights are cancelled and they leave the customers in standby and they don't care where will they stay overnight or anything. If your flight is cancelled they can make you wait days for next flight. The service is horrible and for them pretty much they are doing you a favour rescheduling the flights they cancel. I would put no stars this airline doesn't even deserve one star. ",0
Charlotte to Denver. How is it that the airline requires it's customers to show up at least 2 hours before their flight and there is nobody available at the ticket counter to check a bag until 4am? Every other airline has representatives available. With the amount of money you people charge for a ticket there should always be a representative available for your customers.,0
"London to Melbourne via Abu Dhabi. This has been my worst ever experience with an airline, thanks to a defective airplane. Long story short, 12.5 hours flight with full on aircon is not a must have experience. Asked one of the cabin crew if we can adjust or dim down the aircon but got a negative answer in return. Result was babies crying all the time, people complaining for good reason, even had the quarantine members cone on board upon landing in Melbourne due to some passengers feeling ill.",0
"On arrival we checked our cases in, not surprised to find only a small queue. Both the flight out and back took off on time. I am 6 foot 3 and even I had enough leg room. Despite the flight only been 2.5 hours we still had a movie to watch. The breakfast we were served was okay however the roast dinner on the returning flight was very filling and tasty. Would recommend.",1
"Jieyang to Singapore. My boyfriend and me were on flight 3K 824 on 30 July 2018. We were very impressed with the service rendered by the 4 crew members. It was a full flight with quite a number of infants, toddlers and impatient elderlies, yet the crews displayed an outstanding amount of patience, cheerfulness and an overall great service. It really made a difference to the general atmosphere of the flight. Thank you for a memorable experience. Good job, keep it up !",1
"We had a bit of a mix up with our flights getting unknowingly shuffled, which split up our group of travelers. We were under a lot of stress the last couple of days trying to get it changed and were unsuccessful. We decided to take a chance and go to the airport to try and fix it. The moment we got there, the man working for the airline at the front desk was the most helpful and kind person he could have been. We told him our situation and where other staff members refused to help on the phone, he immediately did everything he could. He managed to get us all on the same flight and all the way home. He was the most calm and kind man. I wish I had known his name, but he worked at the Honolulu airport at the front main desk. He really saved our trip.",1
Flew Hawaiian from Sydney this August. Could not sit in lounge at airport until just before boarding. Arrived at Honolulu to Big Island. Boarded plane but could not take off. They had no air con. Finally took off but could not disembark. Door could not open. It was an extremely long trip. Coming home we were told just before boarding from Honolulu there would be no audio for. 10 hour flight. I had to upgrade as I cannot sit in a confined space for that amount of time. Seated in business class. The air con was freezing all the way. Given IPads but battery kept running out. Could not rewind to where I finished my movie so had to watch it all over again with another IPad. The air con was freezing all the way home. Even the crew were wearing jackets jumpers etc. it was the worst trip there and back we have ever encounterd. Never again. Could not even get a cup of coffee after dinner. Only tea. Did not have decaf coffee. Someone forgot to make it.,0
"Moscow to Kosice via Warsaw. The worst airline in the entire world! They cancelled my flight from Moscow 2 months ago, but they didn't tell me about it. No email, no call, nothing. Then I came to the airport and was wondering why my flight is not on monitors. I was told by LOT representative that the flight was cancelled 2 months ago. You didn't care about me overstaying my Russian visa because of the cancelled flight and I had to chase it and PAY for it. And honestly nobody wants to go through the stress I went because everybody knows how hard it is to get permission to leave Russia if you overstay visa. Then when I got eventually to Warsaw I have asked 3 times at LOT desk if they will handle my luggage all the way through to Kosice. I was told yes, because it's a connecting flight. Then I came to Kosice and of course my luggage is lost. I will never fly with them again.",0
"Icelandair is not ready for the big league. Three of four segments from Milan to Portland via Reykjavik required us to depart or enter the plane on the tarmac and take a bus. Reykjavik airport is a mess with construction and detours that change from day to day. The staff is over worked and stressed. Our flight crew was late causing an hour delayed departure to Milan. The result was we missed the last shuttle to our hotel so a 30 Euro taxi ride was incurred. Of the 4 Icelandair flight segments three were delayed and we had to rush through the Reykjavik terminal to get to our Portland flight which was also delayed. The Icelandair business strategy appears to be ""sell the tickets and we'll figure out how to make the flight later"".",0
Terrible experience during the crisis. No compensation and customer service is a robot answering mails. Company in decline. Will never recommend to anyone.,0
"Flew on the GA862 Jakarta to Sorong on June 10th at 12.30am. The boarding gate 24 is located a long way from the lounge area, however there are buggies that are available for anyone to board and they will drop you off at the gate. The boarding process was straight forward as there were two gates one for Business Class and Sky Priority members and the other for Economy. The flight took off a little behind schedule as there was queue for take off ahead of us. The flight itself was ok considering it is a night flight. The cabin crew came around through out the flight offering snacks and drinks, it would have been much better if they had of switched the cabin lights out and aloud us to sleep. The flight landed in Sorong close on schedule time, however it took much longer than usual for my baggage to be delivered for a business class passengers. The service overall from check in at Jakarta to landing in Sorong was good, but Garuda could do with a rethink about switching the cabin lights off after initial meal has been served as that would allow people to get some sleep.",1
"Upgraded to Business Class on our British Airways flight from Madeira to London on December 28th, paying a premium of E105 per person. Disappointed understates our reaction. Our seats were not comfortable business class as I remember, but exactly the same as the uncomfortable economy class seats behind us, distinguished only by a curtain defining where economy class finished and business started! British Airways standards are slipping!",0
"London to Minsk via Frankfurt. Horrible experience, flight leaving London was late and missed my flight to Minsk by a few minutes, was told at the check in desk that customer services would book a hotel and get me on a flight next day, they rebooked on the next evening flight but refused accomodation with the excuse that my flight landed at 18.30 and the connecting flight didn't leave until 19.15 which is the legal minimum for connection so they weren't liable, it transpired that they told a lie and that the departure gate had closed at 19.00, the customer service staff for this airline are thoroughly unpleasant and seem to take a sadistic pleasure in seeing their customers in a state of distress.",0
Lisbon to Salvador Bahia. Flight plastic free. The first one I have travelled with. And they had Ipads to comfortable watch what we preferred. The distance between the chairs was large.,1
This airline has cancelled a flight with no notice. Only 2 service desks open for all delayed passengers. I understand from another source that instead of being booked on a direct flight at a later time there will be more than a 24hr delay in my arrival at Vienna as the replacement routing is via another airport. I would recommend anyone to think twice before booking with Austrian Airlines. It's not as if this is an intercontinental movement. Any airline worth its name should be able to arrange a replacement aircraft at reasonable notice.,0
Rhodes to Birmingham Saturday 5th July. Over eleven hours late with no explanation other than 'technical problems'. It should have left after nine hours but no staff were on duty to keep us informed and a 7.30 am flight finally took off at 7.16pm. The staff were miserable and surly. No route map on the inflight and the front toilet locked on both journeys.,0
"Hong Kong to Singapore. Unfortunately took this Cathay Pacific flight in Jan 2018 from HKG to SIN during midnight, very sad news was the last minute aircraft changes due to NO reason. From A350 1x2x1 seat configurations to B777 2x3x2 seat configurations, the cabin was so narrow, very similar to economy class seats. I missed out my meal service, I understand passengers may sleep during the midnight flight, but there was no one asking about if I am okay to wake up during the meal service, after I woke up, there was no on asking if I want have some meal before the flight landed.  Will not take Cathay Pacific flight again.",0
"Calgary to Phoenix. First time flying with WestJet. The aircraft was only equipped Economy Class and Premium Economy, I was pretty nervous about the room and comfort of the seat. They put a cup holder in between the two seats and it was actually not that bad. Worth the money.",1
"Barcelona to Menorca. Vueling is a disgrace for traveling. It is highly disfunctional and there is no low cost. We spent Saturday on a beautiful summer day at the airport in Barcelona for a 40 minute flight to Menorca that was supposed to leave at noon and so far at 8.30 pm we still don't know if we are taking off. BTW the round trip fare was above 200 dollars. The staff know nothing, and the kept dragging the issue all day so here we are still waiting.",0
"Amazing experience, new comfortable aircraft, professional staff, great food and beverages served. Very comfy seats. Convenient transfers in Doha Airport.",1
"I am a frequent flyer and fly around Europe using different airlines. My experience with Swiss is always one of the best ones. Since I have been flying with them years ago, they never gave me a chance to complain about anything. Decent aircrafts even though some of them are old ones, very friendly and attentive staff and really good service. My experience is mainly based on short haul flights within Europe. The only downside for some may be higher pricing, as they are slightly expensive than other airlines but then better service to compensate.",1
"Los Angeles to Portland. Southwest has some incredible customer service. I completely messed up and accidently missed my flight to go back home. I briefly explained what had happened and without hesitation, the very friendly female clerk got me onto another flight within a few minutes. There was no charge, no hassle, and before I knew it, I had another flight back to Portland. Very appreciative of the great customer service and the williningness to work with their customers.",1
"Been the worst travel experience, our flight was supposed to take off 11am Qatar time, we flew until 6pm with no regards to our schedule, no communication from the company, the flight, seats, staff, everything was horrible. We landed early morning on the next day, to find out that our luggage was left behind in Doha and no explanation provided at the airport in Casablanca by staff. The best of all is that they tried to blame Qatar authorities for that, no ownership taken, came back next day on my cost and had no clothes to wear, had to buy new personal care stuff early morning to refresh myself, and drive again back to Casablanca from Rabat, just to find that both my suitcases arrived broken,. Tried to file a complaint and up till now no replies by email and been trying to call same way no answers.",0
Flew Rouge Toronto to Phoenix 2 days ago. Knew it would be tight but they could put more padding on their seats. After a 5hour flight back was extremely sore. Agree with others the flight attendants appear to have little to no experience. Purchased a business class meal in economy and it took them over 2 hr to collect the tray and plates. My husband had no room on his fold down tray. And when we asked for it to he taken attendant refused. To top everything off because things were so tight we accidentally left our passport holder on the plane and didn't realize until next day. Fortunately got passports back but money was stolen. So try to speak to someone to report the theft and AC states they have no one on the ground in Phoenix as they have a third party. But they don't even have contact numbers to report the theft. Next time will fly either WestJet or Prter with JetBlue.,0
San Francisco to Portland. Oversell their flights constantly. Here we are still at SFO because they do not have enough flight crew to even begin to board the plane.,0
"My sister and I were flying from Boston, MA to Toronto, ON and then onward to Gatwick, UK. It all started when we got to the airport as suggested 3 hours early.  They are open for 2 hours only per day.  We waited for an hour to check our luggage. Finally when the one staff member did show, the gentleman checked our luggage all the way through to Gatwick. Well, needless to say it never got there. My sister and I went to submit a claim. Claim number should be emailed to us so we can check the status. Never got that. Here we are in Gatwick with a friend we haven't seen in 8 years and we have to spend our time buying clothes and toiletries and then drive an hour to the airport to see if we can at least see if it was there. We get to the airport to check. We spoke with a woman who at first seemed helpful. Said she would walk us through security to check the luggage so we could see if it was there but first had to bring someone else through. We wait, wait and continue to wait. We see her, making eye contact, trying to keep ourselves in check. My sister went over and she forgot about us.  Then she tells us that she doesn't have that clearance. I was so confused, she just did this for someone else! They tell us to come back in 2 hours. We have already spent 2 hours here and this is our vacation! So, we ended up getting a number to the baggage area and the woman on the phone regrettably gave us our claim numbers. I was an inconvenience to her. My sister had a 2 week trip. London first then to Cardiff, Wales. We did not get our luggage for 7 days. When we did, my new large piece of luggage was broken. It would no longer roll and the top handle was coming out. So, I kept all my receipts and am finally home. I went online to submit my reimbursement claim and their online service is ""temporarily unavailable"" since yesterday. I sent them a contact email regarding this. No confirmation, no email back. I am now on hold for the last 2 hours trying to find out an alternate way to submit for reimbursement.",0
I travelled back with easyJet to Luton from Corfu yesterday on flight number EZY2372 with my parents who are both disabled. The cabin crew were marvellous to us all and I can't thank them enough for their pleasant and helpful attitude. My partner and I have just brought a villa in Corfu and this excellent service means we can now feel quite comfortable in inviting our parents to stay with us.,1
"I have to admit after reading all the articles, I was a bit nervous flying Allegiant but my experience was a very positive one. We had to wait a bit to check in, but it wasn't too long or too bad. Staff were courteous, helpful and cheerful. This is no frills airline and one should investigative all add on charges. They don't serve complimentary soft drinks or snacks and you do have to pay for carry ons, but the overall savings was a plus. I would fly with Allegiant again.",1
"Tampa to Las Vegas. This is now the 2nd time Spirit has cancelled a flight without proper notice. 1st time we were delayed almost 4 hours due to a crew shortage which they verbally announced over the loud speaker. After 4 hours, they ultimately cancelled the flight stating 'inclement weather' being the reason so they didn't have to compensate for their error. No offer to book hotels, supply ubers for this flight of almost 200 people. I missed a job interview because of this mishap and I had to practically stalk them for a partial refund. All the while, the staff was absolutely unprofessional, almost downright hateful towards all the passengers trying to rebook. Against my better judgement, I booked again trying to save a few bucks. Not even an hour before take off, I get an email that the flight was cancelled with no reason given. I am writing this review in hopes it will deter people from booking with this airline because the stress they cause is not worth the money 'you save'. Save yourself and book Frontier.",0
"Ranchi to Bangalore. Worst service I have ever experienced. I had scheduled to travel from Ranchi to Bangalore. They have cancelled the flight just few hours before departure when I was traveling to airport. I asked them to arrange any connecting flights as it is really important for me to travel that day, they replied with a smile. When I asked for next available flight they replied after 30 hours. Without any other option I had to cancel the ticket and counter booked a ticket from indigo. GoAir didn't even regret for the caused inconvenience. They just told we nothing to do with this. I frequently travel in AirAsia and indigo but my first experience with Goair created such a bad impression that I would never book GoAir in future under any circumstances.",0
On time departure. Excellent value and they gave a meal on a 2.5 hour flight.  We arrived 30 mins early. Staff was professional. Bags delivered in a normal amount of time.,1
I had booked 8 tickets from Mumbai to Mangalore and return for next month and I paid around Rs. 28000 for flight bookings and now spicejet cancelled scheduled flights and now my important function is getting affected because of flight cancellation from Spicejet. I need to pay higher fare for flights booking of other airlines. This airline don't even bother to call once they cancel prebooked flights. Don't ever go for Spicejet.,0
"I couldn't legally travel and the airline refused to refund or allow a change of flight. I've asked for a statement that they won't provide a refund so that I can claim it through insurance and they refuse to provide one. The customer service is extremely rude and absolutely useless! Their website doesn't even make sense, none of their customer emails work, if they cant set up a proper email I wouldn't trust them to fly a plane.",0
